date,open,high,low,close,volume,adjclose,dividends
2021-06-02,3490.0,3500.0,3420.0,3450.0,108933400,2865.45654296875,0.0
2021-06-03,3420.0,3490.0,3420.0,3490.0,77627900,2898.67919921875,0.0
2021-06-04,3490.0,3510.0,3450.0,3500.0,70624200,2906.984619140625,0.0
2021-06-07,3540.0,3570.0,3500.0,3550.0,124440300,2948.51318359375,0.0
2021-06-08,3550.0,3550.0,3470.0,3500.0,132409400,2906.984619140625,0.0
2021-06-09,3340.0,3400.0,3310.0,3390.0,112204200,2957.59521484375,168.01
2021-06-10,3350.0,3500.0,3340.0,3480.0,137713700,3036.115478515625,0.0
2021-06-11,3490.0,3500.0,3420.0,3470.0,82336600,3027.39111328125,0.0
2021-06-14,3460.0,3470.0,3400.0,3410.0,46016500,2975.044189453125,0.0
2021-06-15,3410.0,3440.0,3380.0,3440.0,60528600,3001.2177734375,0.0
2021-06-16,3380.0,3430.0,3380.0,3410.0,39149800,2975.044189453125,0.0
2021-06-17,3370.0,3420.0,3350.0,3350.0,50286100,2922.69775390625,0.0
2021-06-18,3350.0,3400.0,3290.0,3350.0,168414300,2922.69775390625,0.0
2021-06-21,3280.0,3340.0,3260.0,3300.0,74248200,2879.074951171875,0.0
2021-06-22,3300.0,3370.0,3290.0,3300.0,89349200,2879.074951171875,0.0
2021-06-23,3310.0,3420.0,3310.0,3370.0,81901000,2940.146240234375,0.0
2021-06-24,3330.0,3360.0,3240.0,3250.0,101334200,2835.45263671875,0.0
2021-06-25,3250.0,3300.0,3240.0,3250.0,58330700,2835.45263671875,0.0
2021-06-28,3250.0,3260.0,3170.0,3170.0,66338900,2765.656982421875,0.0
2021-06-29,3190.0,3260.0,3150.0,3160.0,123411200,2756.932373046875,0.0
2021-06-30,3150.0,3180.0,3130.0,3150.0,142204500,2748.2080078125,0.0
2021-07-01,3160.0,3170.0,3090.0,3110.0,143665900,2713.310302734375,0.0
2021-07-02,3110.0,3130.0,3060.0,3070.0,161855700,2678.412109375,0.0
2021-07-05,3070.0,3090.0,3010.0,3040.0,133815000,2652.23876953125,0.0
2021-07-06,3050.0,3070.0,3000.0,3010.0,151573500,2626.065673828125,0.0
2021-07-07,3030.0,3070.0,3010.0,3030.0,110215500,2643.514404296875,0.0
2021-07-08,3060.0,3060.0,3000.0,3010.0,132576600,2626.065673828125,0.0
2021-07-09,3040.0,3170.0,3030.0,3160.0,222916400,2756.932373046875,0.0
2021-07-12,3190.0,3190.0,3110.0,3130.0,86268000,2730.75927734375,0.0
2021-07-13,3160.0,3160.0,3050.0,3070.0,82856600,2678.412109375,0.0
2021-07-14,3050.0,3070.0,3020.0,3060.0,84993400,2669.687744140625,0.0
2021-07-15,3110.0,3140.0,3080.0,3130.0,88092800,2730.75927734375,0.0
2021-07-16,3140.0,3170.0,3110.0,3170.0,63626300,2765.656982421875,0.0
2021-07-19,3160.0,3230.0,3150.0,3220.0,116219500,2809.279541015625,0.0
2021-07-21,3190.0,3240.0,3180.0,3210.0,115099400,2800.554931640625,0.0
2021-07-22,3210.0,3260.0,3210.0,3260.0,48865700,2844.17724609375,0.0
2021-07-23,3250.0,3250.0,3150.0,3170.0,67128400,2765.656982421875,0.0
2021-07-26,3140.0,3200.0,3140.0,3190.0,55525800,2783.105712890625,0.0
2021-07-27,3210.0,3270.0,3160.0,3270.0,62673400,2852.901611328125,0.0
2021-07-28,3250.0,3250.0,3150.0,3190.0,103282300,2783.105712890625,0.0
2021-07-29,3210.0,3290.0,3200.0,3230.0,126542400,2818.00390625,0.0
2021-07-30,3200.0,3290.0,3200.0,3240.0,95143100,2826.728515625,0.0
2021-08-02,3240.0,3310.0,3210.0,3310.0,60368200,2887.799560546875,0.0
2021-08-03,3310.0,3360.0,3290.0,3330.0,89712500,2905.248779296875,0.0
2021-08-04,3330.0,3370.0,3310.0,3370.0,63108600,2940.146240234375,0.0
2021-08-05,3360.0,3400.0,3320.0,3340.0,89742800,2913.97314453125,0.0
2021-08-06,3360.0,3380.0,3310.0,3320.0,31664200,2896.52392578125,0.0
2021-08-09,3260.0,3300.0,3220.0,3250.0,70299500,2835.45263671875,0.0
2021-08-10,3240.0,3270.0,3190.0,3230.0,57658000,2818.00390625,0.0
2021-08-12,3260.0,3350.0,3240.0,3350.0,93133400,2922.69775390625,0.0
2021-08-13,3370.0,3380.0,3260.0,3300.0,59903600,2879.074951171875,0.0
2021-08-16,3300.0,3340.0,3290.0,3340.0,38661800,2913.97314453125,0.0
2021-08-18,3360.0,3440.0,3350.0,3420.0,162921300,2983.768798828125,0.0
2021-08-19,3410.0,3430.0,3360.0,3390.0,100851800,2957.59521484375,0.0
2021-08-20,3390.0,3430.0,3370.0,3400.0,113411000,2966.31982421875,0.0
2021-08-23,3420.0,3440.0,3400.0,3440.0,64122400,3001.2177734375,0.0
2021-08-24,3410.0,3420.0,3310.0,3400.0,69338100,2966.31982421875,0.0
2021-08-25,3390.0,3390.0,3330.0,3370.0,66618200,2940.146240234375,0.0
2021-08-26,3330.0,3360.0,3320.0,3360.0,55756100,2931.421875,0.0
2021-08-27,3370.0,3370.0,3310.0,3320.0,62419000,2896.52392578125,0.0
